iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
44000-P110535,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,SL-Reprod. & Child Health II Proj (FY10),"The development objective of the Second Additional Financing for the Second Phase of the Reproductive and Child Health Project for Sierra Leone is to increase utilization of a package of essential health services by pregnant and lactating women and children under the age of five. This second Additional Financing (AF) will be co-financed by a US$5 million Health Results Innovation Trust Fund (HRITF) grant with a closing date of October 31, 2016, with an extension of the closing date of the grant for the ongoing project to April 30, 2015. The second AF will help finance the costs associated with the implementation of additional activities that scale up the original project's impact and development effectiveness. A request for additional financing was received from the Ministry of finance and economic development in June, 2013 to support strengthening of the existing primary health care Performance-Based Financing (PBF) by extending this to private Primary Health Units (PHUs) providers and scaling up the PBF mechanism  from two to eight hospitals. It will also strengthen prevention services by supporting procurement and distribution of long lasting impregnated nets. Second AF will also support the improvement of the capacity of the Ministry of health and sanitation to carry out its oversight functions, as well as contribute technical and operational assistance for the introduction of a social health insurance scheme for Sierra Leone.",2,25/06/2008,31/10/2016,07/06/2010,31/10/2016,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF HEALTH AND SANITATION,,,SL,Sierra Leone,100,,,,;;;;;13020;12250;12110,;;;;;Reproductive health care;Infectious disease control;Health policy and administrative management,20;20;20;40;100;40;20;40,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,2,,,C01,5,USD,,13000000,0,0,0,0,0,0
44000-P128208,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,SL-Public Sector Pay & Performance(FY12),"The objective of the Pay and Performance Project are to improve competitiveness in pay, performance management and accountability of, and increase staffing of middle and senior staff in, the civil service in Sierra Leone. There are two components to the project. The first component of the project is support to the Government of Sierra Leone's (GoSL's) Reform Program. This component supports the three reform areas (pay reform, recruitment and staffing and performance management) identified in the GoSL's flagship Public Sector Reform Program 'improving productivity through management and pay reforms' (the GoSL Program) which was approved by the President on May 1, 2012. The GoSL's pay strategy approved by Cabinet in February 2011 sets out a comprehensive approach to reforming public sector pay over a five year period. It recognizes that remuneration should be commensurate with the responsibilities of the job, which will require that a comprehensive job evaluation and grading exercise is completed before enhanced pay is introduced in a new pay structure. In addition, the strategy envisages significant decompression of the pay structure which will allow professionals and managers to be remunerated more competitively, while maintaining an affordable and sustainable public service wage bill in relation to GoSL's recurrent revenues. The second component of the project is technical assistance (TA). The TA component will complement the first component by financing selected inputs for which the GoSL has requested more intensive supervision by the Association or for which resources may not be readily available in the GoSL budget. This component will finance goods, consultancy services, non-consulting services, monitoring and evaluation, training, study tours and workshops. Given the importance of effective and continuous information sharing on the reform activities within and outside the government the GoSL proposes to develop and implement a strategic communication program.",2,30/05/2012,31/10/2016,31/05/2012,31/10/2016,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF FINANCE AND HR MGMT OFFICE,,,SL,Sierra Leone,100,,,,;;;15110,;;;Economic and development policy/planning,100;10;90;100,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,2,,,C01,5,USD,,17000000,8116111,0,0,-25235,0,0
47045-SLE-M-CRSSL,1,18/09/2014 00:00,en,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Multilateral,Scaling up Malaria control interventions towards universal coverage in Sierra Leone,"Malaria is endemic in Sierra Leone, with stable and perennial transmission in all parts of the country. As such, the entire population is at risk of developing the disease and will be targeted in this project. The emphasis of this Program is the scaling up Home Management of Malaria (HMM), which is now referred to as Community Case Management of malaria (CCMm). This Program will provide the entire population of Sierra Leone with access to effective malaria control interventions, building on the work of the previous rounds. Its goal is to achieve the malaria-related Millennium Development Goals in Sierra Leone by 2015, as measured by both national aggregate data and also among the poorest groups across Sierra Leone. It is a consolidation of Round 10 and Round 7 Malaria grants and is implemented by 2 Principal Recipients (PR) under dual-track financing. The current PR will focus on Behavioural Change Communication (BCC) and Information, Education and Communication (IEC) activities.

",2,01/08/2011,31/12/2016,01/08/2011,31/12/2016,,,,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,,,,,Catholic Relief Services - Sierra Leone,,,SL,Sierra Leone,,,,,12262,Malaria control,,OECD Development Assistance Committee,4,110,10,C01,5,USD,USD,28987162,8207726,0,0,0,0,0
47045-SLE-M-MOHS,1,18/09/2014 00:00,en,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Multilateral,Scaling up Malaria control interventions towards universal coverage in Sierra Leone,"Malaria is endemic in Sierra Leone, with stable and perennial transmission in all parts of the country.  As such, the entire population is at risk of developing the disease and will be targeted in this project. The emphasis of this Program is the scaling up Home Management of Malaria (HMM), which is now referred to as Community Case Management of malaria (CCMm). This Program will provide the entire population of Sierra Leone with access to effective malaria control interventions, building on the work of the previous rounds. Its goal is to achieve the malaria-related Millennium Development Goals in Sierra Leone by 2015, as measured by both national aggregate data and also among the poorest groups across Sierra Leone. It is a consolidation of Round 10 and Round 7 Malaria grants and is implemented by 2 Principal Recipients (PR) under dual-track financing. The current PR will lead on treatment and procurement activities (with technical assistance support).
",2,01/08/2011,31/12/2016,01/08/2011,31/12/2016,,,,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,,,,,"Ministry of Health and Sanitation, Sierra Leone",,,SL,Sierra Leone,,,,,12262,Malaria control,,OECD Development Assistance Committee,4,110,10,C01,5,USD,USD,534429204,19623546,0,0,0,0,0
44000-P143588,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,SL Safety Nets Project,"The development objective of the Social Safety Nets (SSN) Project for Sierra Leone is to establish the key building blocks for a basic national safety net system and to provide income support to extremely poor households in Sierra Leone. The project has three components. The first component, development of systems for implementation of social safety net interventions objective is to put in place the building blocks of a basic national safety net system in Sierra Leone. It will finance the following activities: (i) design of a targeting system; (ii) development of a beneficiary registry; (iii) development of a management information system (MIS); (iv) set-up of a payment system; and (v) development of a grievance redresses mechanism (GRM) and anti-corruption measures. The second component, cash transfers to extremely poor household's objective is to provide income support to extremely poor households. The third component, project management and capacity building have the following two sub-components: (i) project management, to ensure efficient project implementation. It will finance routine project management for the delivery of cash transfers, and staff and operational costs related to development of SSN systems, and (ii) capacity building, to provide capacity building to key stakeholders involved in the implementation of the project. It will finance: knowledge exchange events; program and line ministry staff social protection (SP) training; line ministry equipment, goods, and services (including line ministry staff travel costs and technical assistance (TA) support); and studies linked to implementation of cash transfers as well as studies to enhance the social protection dialogue in Sierra Leone.",2,13/01/2014,30/09/2017,25/03/2014,30/09/2017,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF FINANCE ANDF ECONOMIC DEVELOPMENT,,,SL,Sierra Leone,100,,,,16010,Social/ welfare services,100,OECD Development Assistance Committee,2,,,C01,5,USD,,7000000,0,0,0,0,0,0
44000-P133424,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,PFM Improvement and Consolidation,"The objective of the Public Financial Management Improvement and Consolidation Project for Sierra Leone is to improve budget planning and credibility, financial control, accountability and oversight in government finances in Sierra Leone. The project has five components. (1) Enhancing budget planning and credibility component will strengthen the macro fiscal forecasting and public investment functions of government to improve overall budget planning, and manage systems and procedures for budget formulation. (2) Financial control, accountability, and oversight component will strengthen financial control in government, improve accountability systems and practices, and enhance independent and public oversight in the management and use of central Government public finances. (3) Supporting the strengthening of revenue mobilization and administration systems component will strengthen revenue policy and oversight of revenue collection, improve the efficiency and integrity of revenue administration to increase domestic revenue, and integrate revenue systems within the overall PFM system. (4) Strengthening local governance, financial management and accountability systems component will improve the financial management systems in local councils, and strengthen the accountability and oversight institutions to contribute to enhanced service delivery efficiency and effectiveness. (5) Public Financial Management (PFM) reform coordination and project management component will ensure a continued strong institutional framework to coordinate and oversee the implementation of the PFM reform strategy as a whole as well as manage the implementation of the proposed project.",2,21/01/2014,31/03/2018,27/11/2013,31/03/2018,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,PUBLIC FINANCIAL MANAGEMENT REFORM UNIT,,,SL,Sierra Leone,100,,,,,,100,OECD Development Assistance Committee,2,,,C01,5,USD,,12000000,0,0,0,0,0,0
44000-P120304,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,SL-Energy Sector Utility Reform,"The objective of the Energy Sector Utility Reform Project for Sierra Leone is to improve the operational performance of the national electricity distribution utility. There are three components to the project, the first component being distribution utility capacity enhancement and performance improvement. This component will support the establishment of a fully functioning and effective national electricity distribution utility (utility) through a three-year performance-based contract for utility operation and management between the utility and a competitively selected firm (contractor) specialized in management of power utilities in developing countries. The second component is the improvement of electricity supply in urban areas. This component will support an extensive investment program targeting the rehabilitation and upgrade of the national distribution network from 33 kV to the low voltage level as a first step to improve the quality and reliability of electricity supply. Investments financed under the project will contribute to increasing the transmission capacity of the system, as well as to improving service quality and reducing technical losses in electricity distribution by upgrading infrastructure in line with demand requirements, thereby decreasing the frequency and duration of outages at the customer level. Finally, the third component is the sector planning assistance, project implementation support and monitoring and evaluation. ",2,24/05/2011,31/12/2018,18/12/2013,31/12/2018,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,,,,SL,Sierra Leone,100,,,,23010;23040,Energy policy and administrative management;Electrical transmission/ distribution,21;79,OECD Development Assistance Committee;OECD Development Assistance Committee,2,,,C01,5,USD,,40000000,0,0,0,0,0,0
DE-1-201334234,1,25/09/2014 00:00,de,BMZ,DE-1,Government,"Umsetzung des ""Child-Friendly-Schooling"" in Schulen und Gemeinden im Kailahun Distrikt",Implementation of child friendly schooling in schools and communites in Kailahun district,2,01/08/2013,31/07/2014,18/11/2013,,,,,DE,DE,Government,DE-1 BMZ,,,Terra Tech - Förderprojekte e.V.,,,SL,Sierra Leone,,289,"South of Sahara, regional",,11130,Teacher training,,OECD Development Assistance Committee,3,,,,,EUR,EUR,49436,34805,0,0,0,0,0
GB-CHC-1109789-BMO6J,1,17/12/2013 00:00,en,Y Care International,GB-CHC-1109789,International NGO,Kroo Bay Grant - Sierra Leone,"Following a Comic Relief filming visit to Freetown in January 2012, a grant was secured to provide additional support to the young girl featured in the filming (Kadiatu), her family and her neighbours for a two year period from August 2012 to July 2014. Support will be provided to improve local housing and sanitation, ensure Kadiatu and other children from surrounding households are able to attend school, as well as providing livelihoods support to women in the immediate community.",2,,19/08/2014,,,,,,Comic Relief,,,,,,Sierra Leone YMCA,,,SL,Sierra Leone,,,,,,,,,,,,,,GBP,GBP,0,0,17000,0,0,0,0
GB-CHC-285776-SLN155,1,30/07/2014 00:00,en,CAFOD,GB-CHC-285776,International NGO,Bee Keeping and Vegetable Cultivation and Marketing Project,"The Bee Keeping and Vegetable Cultivation and Marketing project is a Livelihoods  and food security project contributing to alleviating the food insecurity circumstance of the beneficiaries, and capacitating them to earn income from the sales of their surplus commodities. The project is geared towards empowering beneficiaries to contribute economically to the welfare of their families and their communities. The overall goal of the project is to empower 80 women and 20 youths in  the area of food and income security through Bee keeping and Vegetable production in the Serabu community. The modern organized production methods of honey and vegetables will maximize the production of both commodities. It means the increased yield can be used domestically thereby making the beneficiaries more food secure, and the surplus sold off for cash. The cash realised from the sale of the commodities will be used to grant soft loans to beneficiaries to take care of their personal problems, and some kept in a savings account that will earn interest. The project will target  Serabu Self-Help Development Association, a group of women and youth who have come together to mobilise resources and their efforts to work together for honey production/food crop cultivation and marketing in order promote food security, and break out of the shackles of poverty in their community. The group comprises 120 direct beneficiaries, made
up of 80 women and 40 youth.",2,,04/09/2014,09/01/2014,,,,,CAFOD,GB-CHC-285776,,,,,Caritas Bo,,,SL,Sierra Leone,,,,,43050;31150;41010;31161;,Non-agricultural alternative development;Agricultural inputs;Environmental policy and administrative management;Food crop production;,10;10;20;60;,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,,110,30,C01,5,GBP,,0,30488,0,30120,0,0,0
GB-CHC-285776-SLN156,1,30/07/2014 00:00,en,CAFOD,GB-CHC-285776,International NGO,CAPACITY STRENGTHENING PROJECT,"In 1981, the Catholic Bishops Conference of Sierra Leone, established “Caritas Sierra Leone’ non-governmental faith-based organization, as the relief and development wing of the Catholic Church in Sierra Leone, operating countrywide, through a National office, and four diocesan offices. Since the start of the war in 1991, the structures of Caritas Sierra Leone collapsed, and from then on, the national office closed down, whilst the diocesan offices remained operational. Due to mounting humanitarian emergencies created by the war, each diocesan office responded separately, outside a national framework. Hence, whilst individual parts of the organization survived, the organization in its entirety collapsed, including the breakdown of the national board, the national management team, the national office, and the various coordinating structures. 
At a recent meeting of the technical taskforce charged with responsibility to translate the reports of the Road Mapping Workshop into a fundable proposal, the problems highlighted above were subjected to further reflections, by doing a problem tree analysis as well as a stakeholder analysis. 
At a recent meeting of the technical taskforce charged with responsibility to translate the reports of the Road Mapping Workshop into a fundable proposal, the problems highlighted above were subjected to further reflections, by doing a problem tree analysis as well as a stakeholder analysis. Caritas Sierra Leone to have an improved Governance and Accountability structure, systems and processes in place",2,,04/09/2014,13/02/2014,,,,,CAFOD,GB-CHC-285776,,,,,National Caritas Sierra Leone,,,SL,Sierra Leone,,,,,51010;;;,General budget support;;;,30;40;30;,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,,110,30,C01,5,GBP,,0,8929,0,9146,0,0,0
GB-COH-213890-1095-SL,1,30/09/2014 00:00,en,Save The Children UK,GB-COH-213890,International NGO,START Fund Inception 2014,"This fund will enable fast, strategic and life-saving humanitarian assistance during the first days of crises around the world. The nineteen consortium members form a hub in a large-scale civil society humanitarian response network consisting of over 2500 organisations present in 200 countries that helped over 350 million people in the year 2010 through $11Bn in relief and development programming.  The Start Fund will establish a decentralised regional hub in the second year of operation in order to increase the participation of competent national NGO response capacity in regional disasters.  As 70% of humanitarian assistance is implemented by NGOs, improving NGO financing will have a positive effect on the entire humanitarian system.",2,15/03/2014,15/09/2014,,,,,,Department for International Development (DfID),,Government,,,,,,,SL,Sierra Leone,1,,,,,,,,3,110,10,B03,5,GBP,GBP,0,0,0,30000,0,0,0
NL-KVK-41177206-C-001537,1,26/09/2014 00:00,en,ICCO,NL-KVK-41177206,National NGO,Growing enterpreneurs to fight poverty,"Micro economic activities including food production, petty trading, food processing, tools production, cooked food selling, carpentry, hair dressing, tailoring and dressmaking are key sources of livelihood  for most poor  families in rural Sierra Leone. Entrepreneurs involved in these activities are however confronted with multiple constraints to make a living out of it. Lack of access to credit facility, low business skills (planning, management and accounting) and poor markets for their products are among the key problems. SEND Sierra Leone Livelihood Security Development Programme (KLSDP), supported by Cordaid and Christian Aid, is empowering 4,669 small scale entrepreneurs to improve on their livelihood security in Kailahun district, East SL.    

The underlying project will be a new component of the KLSDP, a 24 month pilot scheme, aiming at developing sustainable and quality business services for 30 small scale entrepreneurs to enable them to establish profit making small scale enterprises. At least 60% of the project beneficiaries are expected to be wonen. The project will equip them with business planning, financial management, record keeping and marketing skills accompanied by coaching services and access to credit to implement their individual business plans. The project will be implemented by the existing local staff of the KLSDP supervised by a Small Business Development Officer (SBDO). In addition, the SBDO will mentor the three community credit unions to strengthen their internal controls and related management systems to better safeguard and manage members savings, microfinance funds and credit facilities for the occupational associations involved in the KLSDP. 


SEND-SL is based in Kailahun, one of the poorest districts of SL. SEND-SL is a new partner of ICCO, but ICCO has had partnerships with SEND West Africa and SEND Liberia. SEND SL was visited with FSAS and identified as an interesting partner, in line with our own strategic choice to focus on BDS. This pilot can serve as a learning model. 

",2,01/10/2012,30/09/2014,01/10/2012,,,,,WD General,NL-KvK-30258482,,,,,Social Enterprise Development Foundation SL,,,SL,Sierra Leone,,,,,;,;,90;10,OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes,3,110,10,B01,5,EUR,EUR,0,81697,0,0,0,0,0
GB-CHC-1127488-SL,1,24/07/2014 00:00,en,Restless Developmen,GB-CHC-1127488,International NGO,Sierra Leone,"Youth-led programmes in Sierra Leone focusing on civic participation, sexual reproductive health and rights, and livelihoods",2,,30/09/2014,01/10/2010,,,,,COOPI,,National NGO,,,,Restless Development,GB-CHC-1127488,International NGO,SL,Sierra Leone,100,,,,11230;13040;15150,Basic life skills for youth and adults;STD control including HIV/AIDS;Strengthening civil society,40;40;20,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,,,30,C01,,SLL,!Mixed currency,0,0,!Mixed currency,!Mixed currency,0,0,0
NL-KVK-41177206-C-000870,1,26/09/2014 00:00,en,ICCO,NL-KVK-41177206,National NGO,Advocating for Pro-poor Land Governance,"Project background>> Large-scale land investments by companies, investment funds and private investors increased 10-fold globally between 2006 and 2009, with two-thirds of such investments in sub-Saharan Africa. While largely welcomed by governments, donors and multilateral institutions such as the World Bank for their contribution to employment, technology and knowledge transfer and economic growth, many civil society actors are concerned about the potential social, economic and environmental impacts of such “land grabbing” on local communities, especially women.  These concerns were confirmed by a study of foreign investments in Sierra Leone’s agricultural sector (Oakland Institute, 2011) that revealed various risks and loopholes in four major land acquisitions. It is for these reasons that land governance has become one of the thematic areas of interventions of ICCO Cooperation’s Sierra Leone program, which is undertaken in close collaboration with other local and international partners, including Christian Aid, Cordaid and several ACT members. ICCO’s project partner, Green Scenery, has built up considerable expertise on land grabbing and other social justice issues. 
Project activities and outputs>> Among other activities, the project is contributing to:
- Empirical research investigating the social and economic impact of three major land investments by Addax, Socfin and Siva Biopalm;
- The launch of a civil society platform on land issues, Action for Large Scale Land Acquisition Transparency (ALLAT). ALLAT brings together 11 partners with specific technical expertise and local knowledge in the area of human rights, democracy, environmental issues and community development;
- The creation of a think tank to engage with critical human rights and governance issues relating to large-scale land acquisitions to support the activities of the platform, which include advocacy, sensitization, capacity building, monitoring of land cases, research, networking and the provision of legal services to address the above problems.",2,01/11/2012,31/10/2014,01/11/2012,,,,,WD General,NL-KvK-30258482,,,,,Green Scenery,,,SL,Sierra Leone,,,,,,,100,OECD Development Assistance Committee 3 digit codes,3,110,10,B01,5,EUR,EUR,0,47222,0,0,0,0,0
NL-KVK-41177206-C-002553,1,26/09/2014 00:00,en,ICCO,NL-KVK-41177206,National NGO,Combatting Cross-Border Child Trafficking,"The government of Sierra Leone in August 2005 passed into law an Anti-Human Trafficking Act. In 2007 a child Rights Act was enacted into law in parliament which promotes and protects the welfare and rights of children, including trafficking. In Sierra Leone, anecdotal evidence indicates that women and children are trafficked internally to Freetown, from neighboring countries and from border towns in Pujehun and Kailahun Districts to neighboring countries like Guinea and Liberia in particular for involuntary domestic servitude, street labor, and commercial sexual exploitation. Children are trafficked from rural areas to Freetown and some from the border towns within Pujehun district to Monrovia with false promises that they will be sent to school, but instead are forced to work on the streets. There have also been reports of trafficking for debt bondage and sexual exploitation in the mines in the interior of Sierra Leonean and Liberia, victims are also trafficked to other West African countries, the Middle East, and Europe. 

In Liberia former government and rebel forces trafficked men, women, and children to serve as porters, laborers, combatant, and sex slaves during the civil war. UNICEF estimates that the former warring factions included more that 15000 children. Armed groups also compelled people to mine gold and diamonds. A significant number of the traffic victims are reported to have returned home through the help of NGOs and UN organizations others are still in Liberia in places like Burmi Hills, where they have the gold mines. The government of Ellen Johnson is yet to make a policy statement on the issue of trafficking and child labor but there are hopes that she will make Liberia a better place.

It is against this background that  RADA, supported by WINROCK worked on a project to raise awareness of the hazards of child labour and child trafficking and the importance of education for children so as to effectively increase awareness and put the necessary community monitoring mechanisms and structures in place to effectively combat child trafficking

This project is therefore develop to build upon the successes of the completed project by strengthening the monitoring mechanism, capacity of communities to address trafficking issues, cross border initiatives and networks and educational placement for children enrolled in the quoranic schools who are in most instances victims of trafficking and child labour.  The project will particularly learn from and build upon the significant achievements of the Borderline Child Trafficking, which reached 123,709 beneficiaries directly and indirectly.

It is expected that 30 community teaches in 4 schools are trained in the hazard of child labor/traficking and are engaged as focal persons to mainstream traficking issues inot their teaching curriculum. In addition, 50 at risk and former traficked children are placed in educational facilities and supported with educational requirements (tuition and fees, learning materials, uniforms, and counseling services).

This project will be partly co-implemented between RADA and the Sustainable Livelihood Promotion Program (SLPP)-RADA's counterpart in Liberia.",2,25/10/2013,30/11/2014,25/10/2013,,,,,KK General,Nl-KvK-30258482,,,,,Rehabilitation and Development Agency in Sierra Leone,,,SL,Sierra Leone,,,,,;,;,60;40,OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes,3,110,10,B01,5,EUR,EUR,0,30000,0,0,0,0,0
NL-KVK-41177206-C-002555,1,26/09/2014 00:00,en,ICCO,NL-KVK-41177206,National NGO,Business Development Support Network,"According to UNDP published report, in 2012 Sierra Leone recorded one of the fastest growth rates in the region, with improvements in the time and cost to start a business. In 2011 the country ranked 61 worldwide in the “Doing Business Report”. Despite this progress Sierra Leone’s 2012 Human Development Index of 0.359 remains below the average of 0.475 for countries in Sub-Saharan Africa positioning the country 177 out of 187 countries and territories.  At the launch of Human Development Index report Ms. Seppo, Sierra Leone’s Country Director for the UNDP noted that investments in people’s capabilities, education and skills, pragmatic policies focused on job creation, women, youth empowerment and improvements in service delivery are fundamental “drivers of change” in order to achieve a strong Human Development Index.  

The growth and graduation of Small and Medium Enterprises represent an important vehicle in job creation and the goal of sustainable economic growth and equity throughout the country. Therefore strengthening the SME sector has a critical role to play in absorbing labor and generally expanding the economy.  The overarching objectives of the setting up of a National Business Development Support Network are to: 

 The overarching objectives of the setting up of a National Business Development Support Network are to: 

1.	Increase the  growth of Small and Medium Enterprises across the country
2.	Widen participatory relationship among SMEs
 
The goals of the established Business Development Support Network are to:

•	Address the poor capacity of the SME sector  through skills development;  The established BDS Network would provide professional business support services such as:
o	Development and review of business plans to support strategic business support  
o	Technical assistance in developing financial and lending plans
o	Advisory and market research services. 
o	Extensive, one-on-one, long-term professional business advisory and coaching sessions
o	In-depth, specialized training. 
•	Facilitate trade by linking to strategic marketing and distribution centers and export markets abroad. 
•	Play a brokers role between SMEs, banks and financial institutes

This project will provide support to 100 women led enterprises in business skills and outreach. In addition, the project will help establish a national business support network.
",2,10/10/2013,30/11/2014,10/10/2013,,,,,WD General,NL-KvK-30258482,,,,,African Foundation for Development,,,SL,Sierra Leone,,,,,;,;,40;60,OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes,3,110,10,B01,5,EUR,EUR,0,47261,0,0,0,0,0
GB-COH-213890-1001-SL,1,30/09/2014 00:00,en,Save The Children UK,GB-COH-213890,International NGO,Health Budget Tracking - Sierra Leone,This award is to build civil society capacity to track health budgets in country.,2,04/12/2013,01/12/2014,,,,,,UN World Health Organisation (WHO),,Multilateral,,,,Save the Children UK,GB-COH-213890,International NGO,SL,Sierra Leone,100,189,"North of Sahara, regional",100,,,100,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,3,110,10,B03,5,GBP,GBP,0,0,0,12280,0,0,0
ES-15-2012-2012000903,1,,en,"Ministry of Foreign Affairs and Cooperation, Spain",ES-5,Government,"IMPROVING THE MOTHER-CHILDREN LEVEL OF MORBIMORTALITY  OF THE MAKENI POPULATION, BOMBALI DISTRICT, SIERRA LEONA. BUILDING AND EQUIPMENT.","Mejorar la salud de las mujeres y niños que nacen en el distrito de Bombali, Sierra Leona, donde hay una alta tasa de mortalidad Materno-infantil",,28/12/2012,27/12/2014,,,,,,Spain,ES,Government,Autonomous Governments,ES-15,,NATIONAL NGOs,22000,,SL,Sierra Leone,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,1,110,10,C01,5,EUR,EUR,251828,0,0,0,0,0,0
46002-P-SL-HA0-004,1,27/06/2014 00:00,en,African Development Bank Group,46002,Multilateral,Central Bank of Sierra Leone Capacity Building Component of The Financial Sector Development Plan,"The objective of the project is to enhance the capacity of the Bank of Sierra Leone as the apex financial institution to formulate, coordinate and take a pro-active leadership role in advancing financial sector reforms and implement the Bank of Sierra Leone Institutional Development Plan. 12. ,,To enhance a more diversified and sustainable financial sector development, the capacity of the Bank of Sierra Leone's oversight functions and legal and regulatory framework as well as establishment of credit information infrastructure has been included in the Government Financial Sector Development Plan (FSDP). 13.,, The project will provide technical assistance and institutional support to four departments as well as the FSDP secretariat to support the Bank of Sierra Leone Institutional Development Plan that will be essential to the achievement of the goals of the FSDP.",2,01/06/2012,29/12/2014,09/01/2013,,,,,Fragile States Facility,FSF,,,,,BANK OF SIERRA LEONE,,,SL,Sierra Leone,,,,,24030,Formal sector financial intermediaries,,OECD Development Assistance Committee,2,,,,,,,807018,458906.97,0,0,0,0,0
41AAA-00081581,1,01/10/2014 00:00,en,United Nations Office for Project Services,41AAA,Multilateral,Construction of Pediatric Medical Centres (PMCs) in Sierra Leone,"The United Nations Children Fund (UNICEF) in consultations with the Sierra Leone Ministry of Health (SLMOH) has sourced funds for the construction of Pediatric Medical Centres (PMC) in a number of Districts of the country. Accordingly, following the consultations and assessments on the MOH priorities to strengthened medical facilities and services for the children of the country the need has been identified for construction of three (3) 50-bed PMCs and nine (9) 30-bed PMCs. The prepared design for the 30-bed and 50-bed PMCs provide an integrated facility to cater for the needs of health services to children as follows : Medical ward for hospitalization and medical services including surgical theatre, procedure room, ICU, nurses and doctors stations, night shift medical staff accommodation, children’s playroom, administration office, and utility storage. Out patient department wing which provides space units for consultation, treatment, isolation and observation, and pharmacy/dispensary. neonatal wing which provides space units for therapedic feeding centre, neonatal unit (stabilization), mother’s rest lounge, and storage. Visitor’s and patients meeting facility in the proximity of the facility and VIP latrines. Bungalow for medical staff. Hard and soft Furnishings. Essential medical equipment. Solar lighting (basic interior & exterior), Water system and solar refrigeration. UNOPS is providing infrastructure and procurement services to the project.",2,,31/12/2014,08/02/2012,,United Nations Office for Project Services,41AAA,Multilateral,United Nations Children's Fund (UNICEF),,,,,,United Nations Office for Project Services,41AAA,Multilateral,SL,Sierra Leone,,298,"Africa, regional",,12191,Medical services,100,OECD Development Assistance Committee,2,110,20,C01,5,USD,USD,1482244,0,1482191,0,0,0,0
